TXNAME	GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
BambuTx1	BambuGene1392	0	0	0	8	7	7
BambuTx2	BambuGene47	0	0	0	36	27	33
BambuTx3	BambuGene49	0	0	0	3	4	6
BambuTx4	ENSG00000299237	1	5.83333	4	7	0	0
BambuTx5	BambuGene1448	8	4	17	12	26	18
BambuTx6	BambuGene1453	14	13	13	7	16	12
BambuTx7	ENSG00000228150	8.57143	3	2	4	10.72822	7
BambuTx8	ENSG00000173614	0	0	0	293.62476	285.78341	260.68994
BambuTx9	ENSG00000175279	9.21342	8.94598	11.03539	55.69789	92.30417	61.2469
BambuTx10	ENSG00000251503	15	9	19.67966	52.44726	69.88172	75.67816
BambuTx11	ENSG00000241563	2	8	3	20.70691	21.77068	19
BambuTx12	ENSG00000142655	104.34975	90	129	517	586	481.82834
BambuTx13	BambuGene1525	0	0	0	100	165	152
BambuTx14	ENSG00000293964	0	0	0	9	9	2
BambuTx15	ENSG00000219481	0	2.18885	4.2123	14.04784	18.24307	20.81807
BambuTx16	BambuGene1560	27	18	28	7	1	0
BambuTx17	ENSG00000142794	0	0	1	9	7.11929	7.02713
BambuTx18	ENSG00000142794	1	8	1	8	22	8.21923
BambuTx19	ENSG00000184454	67.25937	101.69426	120.83121	16.86721	9	11
BambuTx20	ENSG00000229162	0	0	0	18	33	18
BambuTx21	ENSG00000176092	65.83712	91.98268	76.13145	25.28764	37.62958	28.87081
BambuTx22	ENSG00000228589	24.98121	17.71733	25.92592	97.07313	80.88706	77.29268
BambuTx23	ENSG00000228589	46.1635	58.89403	18.02665	775.74909	696.80826	680.57709
BambuTx24	BambuGene1711	16	5	11	6	3	5
BambuTx25	ENSG00000284543	12	1	10	8	4	1
BambuTx26	BambuGene336	4.04743	0	3.71031	37.11335	29	37.22034
BambuTx27	BambuGene1825	0	0	0	7	3	6
BambuTx28	ENSG00000127124	19.81802	24.94285	24.05862	9.11048	12.22222	8.3037
BambuTx29	ENSG00000127124	48	30	35	4	2	4
BambuTx30	ENSG00000164010	14.94386	12	31	17	38.95486	23
BambuTx31	BambuGene1861	0	0	1	20	14	11
BambuTx32	ENSG00000116212	64.28023	146.41776	120.45249	75.16066	51.39639	93.33042
BambuTx33	ENSG00000116205	14.99012	8.1853	17.92498	15.13526	38.82375	19.81113
BambuTx34	ENSG00000162390	168.19502	163.42119	155.87253	17.46749	21.62612	16.98569
BambuTx35	ENSG00000162407	175.08202	134.55849	244.42437	122.10685	131.60496	129.40106
BambuTx36	ENSG00000226476	49.85538	86.79877	110.84345	177.94257	216.79816	195
BambuTx37	ENSG00000237852	4	3	3	10	12	5
BambuTx38	ENSG00000308605	5.22397	6.43456	3.26187	10.6945	7.71723	19.53509
BambuTx39	ENSG00000308605	9.14194	7.8613	8.69832	10.6799	5.41756	9.76755
BambuTx40	BambuGene2033	0	0	0	4	8	4
BambuTx41	ENSG00000162616	7.98471	10.19667	7.55558	13.44953	22.05797	28.79401
BambuTx42	BambuGene2044	47	75	64	2	2	2
BambuTx43	BambuGene583	1.3	1.41667	4	13	7	11.81818
BambuTx44	ENSG00000233008	6	5.06412	11.57352	26.47335	22	13.36325
BambuTx45	BambuGene634	9	15	14	4	10	6
BambuTx46	ENSG00000137936	122	142	161	44	58	49
BambuTx47	ENSG00000137962	115.36227	123.34662	104.98465	3.0776	0	0
BambuTx48	ENSG00000143036	4.18872	12.22419	9.96018	140.38682	129.35194	132.38929
BambuTx49	ENSG00000287919	0	0.66667	0	10	11	15
BambuTx50	ENSG00000188641	49.52524	71.54754	85.53036	22.90801	38.12622	33.86401
BambuTx51	ENSG00000297419	0	0	0	19.875	22.8	29
BambuTx52	ENSG00000297419	1	5	0	33.125	34.2	27
BambuTx53	ENSG00000122435	217.70052	277.52343	345.76275	302.51214	225.96158	253.19407
BambuTx54	ENSG00000304336	0	0	1	41.75479	43.48928	47.61073
BambuTx55	ENSG00000304336	1.87902	4	6	136.93018	155.32307	143.30809
BambuTx56	ENSG00000143119	0	1	0	7	6	3
BambuTx57	ENSG00000303525	0	0	0	4	13	11
BambuTx58	ENSG00000134253	17.04703	34.2947	14.03347	20.18268	19.0597	19.20272
BambuTx59	ENSG00000308561	93	63	55	30	26	24
BambuTx60	ENSG00000270872	29	3	12	176	199	191.96399
BambuTx61	ENSG00000186141	84.19468	108.23505	117.96197	85.14863	64.52038	98.68658
BambuTx62	ENSG00000186364	7.7	9	13.59804	104.63122	100.35981	92.21107
BambuTx63	ENSG00000131788	75.48312	156.3229	110.81859	101.18989	226.04448	160.8089
BambuTx64	ENSG00000270276	143.23459	282.25641	344.31525	1421.80645	1132.02391	1235.25712
BambuTx65	BambuGene794	15	29	52	28	46	24
BambuTx66	BambuGene2230	108	126	148	227	241	204
BambuTx67	ENSG00000143450	102.57902	105.70969	139.4674	92.32266	78.03777	63.5673
BambuTx68	ENSG00000143450	0	0	0	163.68365	152.93199	111.9801
BambuTx69	ENSG00000182134	35.6859	38.51207	30.61928	293.30683	333.5006	281.25151
BambuTx70	ENSG00000238279	401	340	420	385	429	322
BambuTx71	ENSG00000160678	17	8	6	233	268	202
BambuTx72	ENSG00000285867	27.42857	23	25.375	59.33333	96.16471	92.07955
BambuTx73	ENSG00000225082	2	0	0	16.25	9.3913	15.27273
BambuTx74	ENSG00000225082	2	8	10	22.75	17.6087	12.72727
BambuTx75	BambuGene2345	119	69	21	253	196	249
BambuTx76	ENSG00000143303	80.55221	74.84921	79.20087	74.83657	67.52874	66.30479
BambuTx77	ENSG00000289721	0	0	1	7	18.31034	17.39535
BambuTx78	ENSG00000289721	4	3	3	17	40.68966	26.60465
BambuTx79	ENSG00000163568	3.59083	13.20218	0	124.96759	139.57055	135.1668
BambuTx80	BambuGene966	10	12	18	34	28	15
BambuTx81	ENSG00000158769	168.89957	115.14724	169.75258	189.24346	227.03705	183.58008
BambuTx82	BambuGene988	27	36	37	22	18	21
BambuTx83	ENSG00000143217	23.5136	15.4865	14.74013	119.82135	180.90347	121.6558
BambuTx84	ENSG00000162746	3.78108	0	9.37441	17.73349	36.29148	23.2853
BambuTx85	ENSG00000307516	0	0	0	34	73.71569	45
BambuTx86	ENSG00000143248	0	0	1.32636	21.0876	22.56403	14.19415
BambuTx87	ENSG00000143248	0	0	0	28.1168	38.4678	30.4362
BambuTx88	ENSG00000232995	0	5.99079	1.58651	24.61217	30.47465	30.12834
BambuTx89	ENSG00000232995	8	4.51573	1.58651	10.35082	4.42859	2.14144
