TXNAME	GENEID	R2_HCC827	R3_HCC827	R1_HCC827	R3_H1975	R1_H1975	R2_H1975
BambuTx1	BambuGene1392	0	0	0	7	7	6
BambuTx2	BambuGene47	0	0	0	26	11	16
BambuTx3	BambuGene49	0	0	0	3	4	5
BambuTx4	ENSG00000299237	0	5	4	7	0	0
BambuTx5	BambuGene1448	7	4	15	8	25	16
BambuTx6	BambuGene1453	12	13	12	7	15	11
BambuTx7	ENSG00000228150	5	3	2	4	7	7
BambuTx8	ENSG00000173614	0	0	0	183	174	175
BambuTx9	ENSG00000175279	4	7	4	33	64	46
BambuTx10	ENSG00000251503	15	9	19	51	67	69
BambuTx11	ENSG00000241563	1	8	3	17	21	19
BambuTx12	ENSG00000142655	87	76	110	417	516	423
BambuTx13	BambuGene1525	0	0	0	97	163	148
BambuTx14	ENSG00000293964	0	0	0	9	9	0
BambuTx15	ENSG00000219481	0	2	1	8	10	15
BambuTx16	BambuGene1560	16	15	17	7	1	0
BambuTx17	ENSG00000142794	0	0	1	6	6	3
BambuTx18	ENSG00000142794	0	7	1	4	6	6
BambuTx19	ENSG00000184454	51	74	88	8	8	9
BambuTx20	ENSG00000229162	0	0	0	7	11	6
BambuTx21	ENSG00000176092	30	63	48	20	28	23
BambuTx22	ENSG00000228589	17	15	22	96	79	74
BambuTx23	ENSG00000228589	4.99	7	5.76794	43	39	31
BambuTx24	BambuGene1711	16	5	11	6	3	5
BambuTx25	ENSG00000284543	12	0	6	3	4	1
BambuTx26	BambuGene336	3.82015	0	2.33361	19.44131	19	29
BambuTx27	BambuGene1825	0	0	0	6	3	6
BambuTx28	ENSG00000127124	2	5	4	2	4	5
BambuTx29	ENSG00000127124	46	25	32	4	2	2
BambuTx30	ENSG00000164010	11	12	28	17	36	20
BambuTx31	BambuGene1861	0	0	0	19	13	11
BambuTx32	ENSG00000116212	31	64	54	37	36	45
BambuTx33	ENSG00000116205	12	4	16	11	36	17
BambuTx34	ENSG00000162390	10	52	23	5	5	3
BambuTx35	ENSG00000162407	67	72	119	76	79	77
BambuTx36	ENSG00000226476	9	27	31	36	47	27
BambuTx37	ENSG00000237852	3	3	3	6	11	3
BambuTx38	ENSG00000308605	4	6	3	10	7	16
BambuTx39	ENSG00000308605	7	7	8	8	5	7
BambuTx40	BambuGene2033	0	0	0	4	8	4
BambuTx41	ENSG00000162616	5	7	5	8	17	20
BambuTx42	BambuGene2044	7	13	8	2	0	0
BambuTx43	BambuGene583	1	1	3	10	7	10
BambuTx44	ENSG00000233008	3	4	9	15	16	7
BambuTx45	BambuGene634	8	15	11	4	7	4
BambuTx46	ENSG00000137936	109	134	147	39	52	45
BambuTx47	ENSG00000137962	60	81	79	2	0	0
BambuTx48	ENSG00000143036	2	4	2	69	53	61
BambuTx49	ENSG00000287919	0	0	0	5	7	11
BambuTx50	ENSG00000188641	8	39	33	7	14	13
BambuTx51	ENSG00000297419	0	0	0	18	20	18
BambuTx52	ENSG00000297419	0	0	0	28	19	22
BambuTx53	ENSG00000122435	9	26	37	29	31	26
BambuTx54	ENSG00000304336	0	0	1	27	35	38
BambuTx55	ENSG00000304336	1	1	6	113	141	124
BambuTx56	ENSG00000143119	0	1	0	7	4	1
BambuTx57	ENSG00000303525	0	0	0	2	10	10
BambuTx58	ENSG00000134253	6	26	12	14	14	13
BambuTx59	ENSG00000308561	80	61	54	30	26	22
BambuTx60	ENSG00000270872	0	0	0	19	21	13
BambuTx61	ENSG00000186141	41	66	78	48	41	58
BambuTx62	ENSG00000186364	7	8	10	76	85	78
BambuTx63	ENSG00000131788	24	75	55	49	65	69
BambuTx64	ENSG00000270276	81	142	182	1172	889	1027
BambuTx65	BambuGene794	15	27	50	27	40	24
BambuTx66	BambuGene2230	76	78	102	170	166	149
BambuTx67	ENSG00000143450	49	77	91	60	58	46
BambuTx68	ENSG00000143450	0	0	0	127	125	91
BambuTx69	ENSG00000182134	1	9	5	47	60	57
BambuTx70	ENSG00000238279	199	178	215	200	215	185
BambuTx71	ENSG00000160678	3	4	2	71	27	56
BambuTx72	ENSG00000285867	12	19	19	35	58	64
BambuTx73	ENSG00000225082	0	0	0	15	7	11
BambuTx74	ENSG00000225082	0	6	3	19	14	9
BambuTx75	BambuGene2345	34	17	0	78	60	83
BambuTx76	ENSG00000143303	31	45	40	48	45	47
BambuTx77	ENSG00000289721	0	0	1	6	18	16
BambuTx78	ENSG00000289721	2	3	3	17	36	21
BambuTx79	ENSG00000163568	0	10	0	79	109	102
BambuTx80	BambuGene966	10	12	16	32	26	13
BambuTx81	ENSG00000158769	17	31	41	43	65	67
BambuTx82	BambuGene988	23	29	33	16	15	20
BambuTx83	ENSG00000143217	8	7	6	32	35	31
BambuTx84	ENSG00000162746	1	0	7	15	20	17
BambuTx85	ENSG00000307516	0	0	0	32	72	44
BambuTx86	ENSG00000143248	0	0	1	8	12	10
BambuTx87	ENSG00000143248	0	0	0	19	23	24
BambuTx88	ENSG00000232995	0	2	1	16	26	23
BambuTx89	ENSG00000232995	7	3	0	5	3	1
BambuTx90	ENSG00000297093	1	9	16	11	8	7
BambuTx91	BambuGene2444	0	0	0	9	16	7
BambuTx92	ENSG00000197959	17	47	36	50	33	55
BambuTx93	ENSG00000180999	0	13	12	3	1	3
BambuTx94	BambuGene1021	3	9	5	6	4	5
BambuTx95	BambuGene2462	15	50	35	509	501	594
BambuTx96	ENSG00000273384	0	7	2	16	14	11
BambuTx97	BambuGene2472	13	20	28	4	10	6
BambuTx98	ENSG00000116668	0	1	2	15	4	6
BambuTx99	ENSG00000203724	24	35	44	159	144	136
BambuTx100	BambuGene2537	2	3	4	31	34	31
BambuTx101	BambuGene1084	0	4	3	7	7	11
BambuTx102	BambuGene2563	0	6	3	5	5	4
BambuTx103	ENSG00000163485	2	8	1	4	0	1
BambuTx104	ENSG00000299041	6	9	10	17	20	15
BambuTx105	BambuGene2597	1	2	7	5	11	3
BambuTx106	ENSG00000170498	7	7	14	18	7	13
BambuTx107	ENSG00000186007	135	189	236	188	193	158
BambuTx108	ENSG00000186007	58	89	96	92	100	108
BambuTx109	ENSG00000281406	1	6	6	4	7	2
BambuTx110	ENSG00000295836	1	6	1	1	4	0
BambuTx111	ENSG00000162892	0	0	1	21	30	34
BambuTx112	ENSG00000185523	6	5	4	7	2	2
BambuTx113	ENSG00000174606	7	17	17	77	106	101
BambuTx114	ENSG00000174606	6.3809	19.17572	10.63298	60	6.6929	70
BambuTx115	ENSG00000162814	9	4	10	21	40	15
BambuTx116	BambuGene1206	31	5	13	15	16	10
BambuTx117	BambuGene2664	4	2	1	3	8	12
BambuTx118	ENSG00000307458	0	0	0	3	13	8
BambuTx119	ENSG00000236846	0	1	2	7	10	25
BambuTx120	ENSG00000234112	3	6	1	3	6	1
BambuTx121	ENSG00000242861	1	1	0	6	6	3
BambuTx122	ENSG00000243709	0	0	0	4	2	0
BambuTx123	BambuGene2730	0	0	0	2	8	0
BambuTx124	ENSG00000305780	0	2	0	5	9	4
BambuTx125	BambuGene2740	0	1	1	4	8	0
BambuTx126	ENSG00000233920	1	0	0	16	11	17
BambuTx127	ENSG00000236358	1	3	0	6	2	5
BambuTx128	ENSG00000143669	0	1	4	84	146	109
BambuTx129	ENSG00000143669	2	3	4	110	183	140
BambuTx130	ENSG00000302457	11	14	12	42	48	42
BambuTx131	ENSG00000182901	6	10	13	24	12	17
BambuTx132	ENSG00000054282	34	59	65	181	221	230
BambuTx133	ENSG00000054282	8	25	29	86	85	81
BambuTx134	ENSG00000300752	0	0	1	2	6	0
BambuTx135	BambuGene1386	0	0	5	15	11	19
BambuTx136	ENSG00000298524	0	1	5	11	5	4
BambuTx137	ENSG00000303579	0	0	1	9	14	6
BambuTx138	BambuGene3380	4	1	4	3	5	8
BambuTx139	BambuGene2854	0	0	0	5	2	4
BambuTx140	ENSG00000151474	3	0	1	4	24	11
BambuTx141	ENSG00000272853	1	0	2	10	13	22
BambuTx142	ENSG00000235623	0	1	0	7	8	16
BambuTx143	ENSG00000274985	0	0	0	14	23	26
BambuTx144	ENSG00000274985	0	0	0	136	177	190
BambuTx145	BambuGene3459	7	1	7	7	10	8
BambuTx146	BambuGene2983	27	11	37	3	8	11
BambuTx147	ENSG00000095794	3	5	9	15	20	29
BambuTx148	ENSG00000271335	3	4	2	13	17	10
BambuTx149	BambuGene2988	1	3	2	12	15	14
BambuTx150	BambuGene3494	0	0	0	4	4	0
BambuTx151	ENSG00000196693	4	18	8	55	55	60
BambuTx152	ENSG00000198915	0	0	0	46	51	55
BambuTx153	ENSG00000198915	0	0	0	23	23	29
BambuTx154	ENSG00000198298	5	5	9	3	5	0
BambuTx155	ENSG00000285402	0	0	0	4	2	6
BambuTx156	BambuGene3017	0	0	1	3	10	8
BambuTx157	ENSG00000254271	0	5	2	11	8	6
BambuTx158	ENSG00000072422	3	0	5	50	39	47
BambuTx159	ENSG00000214881	4	9	5	10	7	12
BambuTx160	ENSG00000042286	7	9	3	39	51	44
BambuTx161	ENSG00000156521	7	8	11	50	33	47
BambuTx162	ENSG00000166295	120	179	195	585	636	554
BambuTx163	BambuGene3620	0	0	1	413	257	530
BambuTx164	BambuGene3620	1	10	1	659	667	456
BambuTx165	ENSG00000148719	224	386	343	184	206	207
BambuTx166	ENSG00000293542	6	16	13	1	1	1
BambuTx167	ENSG00000230417	0	0	0	2	8	4
BambuTx168	BambuGene3685	28	41	64	25	32	37
BambuTx169	ENSG00000235100	2	11	4	10	7	8
BambuTx170	BambuGene3167	0	0	1	12	16	4
BambuTx171	ENSG00000148688	24	53	46	84	86	112
BambuTx172	ENSG00000176273	0	6	1	27	22	10
BambuTx173	ENSG00000119943	4	4	15	5	15	6
BambuTx174	ENSG00000298413	14	19	36	119	106	85
BambuTx175	ENSG00000107882	15	14	6	13	23	20
BambuTx176	ENSG00000065618	118	161	158	550	452	485
BambuTx177	ENSG00000197748	0	6	1	11	3	6
BambuTx178	ENSG00000228484	0	0	0	10	12	8
BambuTx179	ENSG00000295480	7	1	3	1	1	4
BambuTx180	ENSG00000220842	124	105	129	72	84	87
BambuTx181	BambuGene3857	2	4	5	6	5	0
BambuTx182	ENSG00000107672	10	31	33	78	73	81
BambuTx183	ENSG00000107679	8	24	18	13	24	25
BambuTx184	ENSG00000179988	41	76	116	235	290	241
BambuTx185	BambuGene3865	1	8	6	3	9	4
BambuTx186	ENSG00000305416	8	19	17	4	0	8
BambuTx187	ENSG00000180745	8	3	0	4	2	8
BambuTx188	ENSG00000227076	1	2	1	5	12	9
BambuTx189	ENSG00000237489	5	8	16	20	16	13
BambuTx190	ENSG00000298639	1	1	3	5	16	18
BambuTx191	ENSG00000165752	87	78	106	103	143	125
BambuTx192	ENSG00000308672	0	0	0	4	0	5
BambuTx193	BambuGene3899	6	0	6	5	2	1
BambuTx194	ENSG00000177042	28	49	58	47	46	29
BambuTx195	BambuGene4609	173	40	56	30	25	37
BambuTx196	BambuGene3917	0	0	0	5	0	1
BambuTx197	BambuGene3931	1	0	0	46	22	33
BambuTx198	ENSG00000295409	5	0	1	7	2	0
BambuTx199	ENSG00000305647	39	37	54	68	80	44
BambuTx200	BambuGene4629	0	0	0	12	6	7
BambuTx201	ENSG00000166407	0	0	0	42	69	48
BambuTx202	ENSG00000110328	8	8	5	2	3	6
BambuTx203	ENSG00000133818	0	2	0	57	57	70
BambuTx204	BambuGene4707	4	1	2	13	8	6
BambuTx205	ENSG00000247595	109	124	172	353	444	316
BambuTx206	ENSG00000307501	0	1	1	4	0	4
BambuTx207	BambuGene4762	1	0	0	44	40	27
BambuTx208	BambuGene4031	5	0	6	6	10	15
BambuTx209	ENSG00000179431	39	19	40	29	46	45
BambuTx210	BambuGene4039	0	0	0	2	13	7
BambuTx211	BambuGene4049	0	0	1	129	144	123
BambuTx212	BambuGene4049	0	0	0	25	39	26
BambuTx213	ENSG00000254519	0	0	0	9	1	1
BambuTx214	ENSG00000181903	20	31	25	26	11	19
BambuTx215	ENSG00000256591	5	26	32	38	38	29
BambuTx216	ENSG00000124915	9	19	27	1	1	0
BambuTx217	ENSG00000149016	17	43	42	53	61	70
BambuTx218	ENSG00000149489	0	11	2	29	42	38
BambuTx219	BambuGene4935	145	167	214	118	182	116
BambuTx220	BambuGene4937	0	3	4	2	1	0
BambuTx221	ENSG00000298107	6	5	4	1	5	7
BambuTx222	ENSG00000149761	237	371	279	57	53	67
BambuTx223	ENSG00000173486	976	893	1105	497	553	558
BambuTx224	ENSG00000173457	245	196	312	99	91	90
BambuTx225	ENSG00000257069	10	7	10	1	1	2
BambuTx226	ENSG00000219435	83	123	130	38	31	30
BambuTx227	ENSG00000168061	28	21	17	48	36	26
BambuTx228	ENSG00000175294	50	70	57	28	45	58
BambuTx229	ENSG00000254452	14	55	63	26	43	25
BambuTx230	ENSG00000256514	23	38	24	132	144	150
BambuTx231	BambuGene4282	0	0	0	4	0	6
BambuTx232	BambuGene5069	17	4	6	4	11	0
BambuTx233	ENSG00000132746	10	17	7	23	20	25
BambuTx234	ENSG00000290995	4	10	20	34	14	43
BambuTx235	BambuGene5071	1	1	0	7	5	7
BambuTx236	BambuGene5071	0	0	1	6	0	1.13853
BambuTx237	BambuGene5076	14	8	7	2	0	0
BambuTx238	ENSG00000171067	29	53	44	202	259	276
BambuTx239	BambuGene5103	0	1	1	12	7	4
BambuTx240	ENSG00000260877	0	7	1	42	26	33
BambuTx241	BambuGene5110	1	4	8	41	39	37
BambuTx242	BambuGene5117	0	0	0	22	22	23
BambuTx243	ENSG00000172890	29	31	42	139	182	144
